,latent_dimension,drug,correlation,name,moa,target,indication,phase,Associated Pathways
68418,20,BRD-K60341624-001-02-2::2.5::HTS,0.1727918421870463,GSK1292263,glucose dependent insulinotropic receptor agonist,GRPR,,Phase 2,"['APC/C-mediated Degradation Of Cell Cycle Proteins R-HSA-174143', 'Regulation Of APC/C Activators Between G1/S And Early Anaphase R-HSA-176408', 'APC/C:Cdh1 Mediated Degradation Of Cdc20 And APC/C:Cdh1 Targets In Late Mitosis/Early G1 R-HSA-174178', 'Activation Of APC/C And APC/C:Cdc20 Mediated Degradation Of Mitotic Proteins R-HSA-176814', 'CDK-mediated Phosphorylation And Removal Of Cdc6 R-HSA-69017', 'APC/C:Cdc20 Mediated Degradation Of Securin R-HSA-174154', 'APC/C:Cdc20 Mediated Degradation Of Mitotic Proteins R-HSA-176409', 'Autodegradation Of Cdh1 By Cdh1:APC/C R-HSA-174084', 'Golgi-to-ER Retrograde Transport R-HSA-8856688', 'Cdc20:Phospho-APC/C Mediated Degradation Of Cyclin A R-HSA-174184']"
68420,20,BRD-K60369935-001-18-3::2.5::HTS,0.14501588669531898,ribavirin,antiviral,"ADK, ENPP1, IMPDH1, IMPDH2, NT5C2",hepatitis C,Launched,"['APC/C-mediated Degradation Of Cell Cycle Proteins R-HSA-174143', 'Regulation Of APC/C Activators Between G1/S And Early Anaphase R-HSA-176408', 'APC/C:Cdh1 Mediated Degradation Of Cdc20 And APC/C:Cdh1 Targets In Late Mitosis/Early G1 R-HSA-174178', 'Activation Of APC/C And APC/C:Cdc20 Mediated Degradation Of Mitotic Proteins R-HSA-176814', 'CDK-mediated Phosphorylation And Removal Of Cdc6 R-HSA-69017', 'APC/C:Cdc20 Mediated Degradation Of Securin R-HSA-174154', 'APC/C:Cdc20 Mediated Degradation Of Mitotic Proteins R-HSA-176409', 'Autodegradation Of Cdh1 By Cdh1:APC/C R-HSA-174084', 'Golgi-to-ER Retrograde Transport R-HSA-8856688', 'Cdc20:Phospho-APC/C Mediated Degradation Of Cyclin A R-HSA-174184']"
68421,20,BRD-K60441002-001-04-8::2.5::HTS,-0.15154308761786167,muscimol,benzodiazepine receptor agonist,"GABRA1, GABRA2, GABRA3, GABRA4, GABRA5, GABRA6, GABRR1, GABRR2, GABRR3",,Phase 1,"['APC/C-mediated Degradation Of Cell Cycle Proteins R-HSA-174143', 'Regulation Of APC/C Activators Between G1/S And Early Anaphase R-HSA-176408', 'APC/C:Cdh1 Mediated Degradation Of Cdc20 And APC/C:Cdh1 Targets In Late Mitosis/Early G1 R-HSA-174178', 'Activation Of APC/C And APC/C:Cdc20 Mediated Degradation Of Mitotic Proteins R-HSA-176814', 'CDK-mediated Phosphorylation And Removal Of Cdc6 R-HSA-69017', 'APC/C:Cdc20 Mediated Degradation Of Securin R-HSA-174154', 'APC/C:Cdc20 Mediated Degradation Of Mitotic Proteins R-HSA-176409', 'Autodegradation Of Cdh1 By Cdh1:APC/C R-HSA-174084', 'Golgi-to-ER Retrograde Transport R-HSA-8856688', 'Cdc20:Phospho-APC/C Mediated Degradation Of Cyclin A R-HSA-174184']"
68422,20,BRD-K60443845-001-08-6::2.5::HTS,0.28789198747358313,chlormidazole,fungal lanosterol demethylase inhibitor,,fungal infection,Launched,"['APC/C-mediated Degradation Of Cell Cycle Proteins R-HSA-174143', 'Regulation Of APC/C Activators Between G1/S And Early Anaphase R-HSA-176408', 'APC/C:Cdh1 Mediated Degradation Of Cdc20 And APC/C:Cdh1 Targets In Late Mitosis/Early G1 R-HSA-174178', 'Activation Of APC/C And APC/C:Cdc20 Mediated Degradation Of Mitotic Proteins R-HSA-176814', 'CDK-mediated Phosphorylation And Removal Of Cdc6 R-HSA-69017', 'APC/C:Cdc20 Mediated Degradation Of Securin R-HSA-174154', 'APC/C:Cdc20 Mediated Degradation Of Mitotic Proteins R-HSA-176409', 'Autodegradation Of Cdh1 By Cdh1:APC/C R-HSA-174084', 'Golgi-to-ER Retrograde Transport R-HSA-8856688', 'Cdc20:Phospho-APC/C Mediated Degradation Of Cyclin A R-HSA-174184']"
68426,20,BRD-K60585088-001-01-5::2.5::HTS,0.18788024675066567,paricalcitol,vitamin D receptor agonist,VDR,"chronic kidney disease (CKD), hyperthyroidism",Launched,"['APC/C-mediated Degradation Of Cell Cycle Proteins R-HSA-174143', 'Regulation Of APC/C Activators Between G1/S And Early Anaphase R-HSA-176408', 'APC/C:Cdh1 Mediated Degradation Of Cdc20 And APC/C:Cdh1 Targets In Late Mitosis/Early G1 R-HSA-174178', 'Activation Of APC/C And APC/C:Cdc20 Mediated Degradation Of Mitotic Proteins R-HSA-176814', 'CDK-mediated Phosphorylation And Removal Of Cdc6 R-HSA-69017', 'APC/C:Cdc20 Mediated Degradation Of Securin R-HSA-174154', 'APC/C:Cdc20 Mediated Degradation Of Mitotic Proteins R-HSA-176409', 'Autodegradation Of Cdh1 By Cdh1:APC/C R-HSA-174084', 'Golgi-to-ER Retrograde Transport R-HSA-8856688', 'Cdc20:Phospho-APC/C Mediated Degradation Of Cyclin A R-HSA-174184']"
68427,20,BRD-K60640630-001-11-0::2.5::HTS,0.174956017750037,mometasone-furoate,glucocorticoid receptor agonist,NR3C1,corticosteroid-responsive dermatoses,Launched,"['APC/C-mediated Degradation Of Cell Cycle Proteins R-HSA-174143', 'Regulation Of APC/C Activators Between G1/S And Early Anaphase R-HSA-176408', 'APC/C:Cdh1 Mediated Degradation Of Cdc20 And APC/C:Cdh1 Targets In Late Mitosis/Early G1 R-HSA-174178', 'Activation Of APC/C And APC/C:Cdc20 Mediated Degradation Of Mitotic Proteins R-HSA-176814', 'CDK-mediated Phosphorylation And Removal Of Cdc6 R-HSA-69017', 'APC/C:Cdc20 Mediated Degradation Of Securin R-HSA-174154', 'APC/C:Cdc20 Mediated Degradation Of Mitotic Proteins R-HSA-176409', 'Autodegradation Of Cdh1 By Cdh1:APC/C R-HSA-174084', 'Golgi-to-ER Retrograde Transport R-HSA-8856688', 'Cdc20:Phospho-APC/C Mediated Degradation Of Cyclin A R-HSA-174184']"
68435,20,BRD-K60997853-001-02-3::2.5::HTS,0.134184921270731,PHA-848125,"CDK inhibitor, growth factor receptor inhibitor","CDK2, CDK4, CDK7, NTRK1",,Phase 2,"['APC/C-mediated Degradation Of Cell Cycle Proteins R-HSA-174143', 'Regulation Of APC/C Activators Between G1/S And Early Anaphase R-HSA-176408', 'APC/C:Cdh1 Mediated Degradation Of Cdc20 And APC/C:Cdh1 Targets In Late Mitosis/Early G1 R-HSA-174178', 'Activation Of APC/C And APC/C:Cdc20 Mediated Degradation Of Mitotic Proteins R-HSA-176814', 'CDK-mediated Phosphorylation And Removal Of Cdc6 R-HSA-69017', 'APC/C:Cdc20 Mediated Degradation Of Securin R-HSA-174154', 'APC/C:Cdc20 Mediated Degradation Of Mitotic Proteins R-HSA-176409', 'Autodegradation Of Cdh1 By Cdh1:APC/C R-HSA-174084', 'Golgi-to-ER Retrograde Transport R-HSA-8856688', 'Cdc20:Phospho-APC/C Mediated Degradation Of Cyclin A R-HSA-174184']"
68442,20,BRD-K61192372-001-08-9::2.5::HTS,0.10003573864805197,capecitabine,"DNA synthesis inhibitor, thymidylate synthase inhibitor",TYMS,"breast cancer, colorectal cancer",Launched,"['APC/C-mediated Degradation Of Cell Cycle Proteins R-HSA-174143', 'Regulation Of APC/C Activators Between G1/S And Early Anaphase R-HSA-176408', 'APC/C:Cdh1 Mediated Degradation Of Cdc20 And APC/C:Cdh1 Targets In Late Mitosis/Early G1 R-HSA-174178', 'Activation Of APC/C And APC/C:Cdc20 Mediated Degradation Of Mitotic Proteins R-HSA-176814', 'CDK-mediated Phosphorylation And Removal Of Cdc6 R-HSA-69017', 'APC/C:Cdc20 Mediated Degradation Of Securin R-HSA-174154', 'APC/C:Cdc20 Mediated Degradation Of Mitotic Proteins R-HSA-176409', 'Autodegradation Of Cdh1 By Cdh1:APC/C R-HSA-174084', 'Golgi-to-ER Retrograde Transport R-HSA-8856688', 'Cdc20:Phospho-APC/C Mediated Degradation Of Cyclin A R-HSA-174184']"
68444,20,BRD-K61228301-001-01-2::2.5::HTS,0.27280670602429774,SGI-1027,DNA methyltransferase inhibitor,"DNMT1, DNMT3A, DNMT3B",,Preclinical,"['APC/C-mediated Degradation Of Cell Cycle Proteins R-HSA-174143', 'Regulation Of APC/C Activators Between G1/S And Early Anaphase R-HSA-176408', 'APC/C:Cdh1 Mediated Degradation Of Cdc20 And APC/C:Cdh1 Targets In Late Mitosis/Early G1 R-HSA-174178', 'Activation Of APC/C And APC/C:Cdc20 Mediated Degradation Of Mitotic Proteins R-HSA-176814', 'CDK-mediated Phosphorylation And Removal Of Cdc6 R-HSA-69017', 'APC/C:Cdc20 Mediated Degradation Of Securin R-HSA-174154', 'APC/C:Cdc20 Mediated Degradation Of Mitotic Proteins R-HSA-176409', 'Autodegradation Of Cdh1 By Cdh1:APC/C R-HSA-174084', 'Golgi-to-ER Retrograde Transport R-HSA-8856688', 'Cdc20:Phospho-APC/C Mediated Degradation Of Cyclin A R-HSA-174184']"
68456,20,BRD-K61397605-001-03-4::2.5::HTS,0.12013176406403414,romidepsin,HDAC inhibitor,"HDAC1, HDAC2, HDAC3, HDAC4, HDAC5, HDAC6, HDAC7, HDAC8, HDAC9",cutaneous T-cell lymphoma (CTCL),Launched,"['APC/C-mediated Degradation Of Cell Cycle Proteins R-HSA-174143', 'Regulation Of APC/C Activators Between G1/S And Early Anaphase R-HSA-176408', 'APC/C:Cdh1 Mediated Degradation Of Cdc20 And APC/C:Cdh1 Targets In Late Mitosis/Early G1 R-HSA-174178', 'Activation Of APC/C And APC/C:Cdc20 Mediated Degradation Of Mitotic Proteins R-HSA-176814', 'CDK-mediated Phosphorylation And Removal Of Cdc6 R-HSA-69017', 'APC/C:Cdc20 Mediated Degradation Of Securin R-HSA-174154', 'APC/C:Cdc20 Mediated Degradation Of Mitotic Proteins R-HSA-176409', 'Autodegradation Of Cdh1 By Cdh1:APC/C R-HSA-174084', 'Golgi-to-ER Retrograde Transport R-HSA-8856688', 'Cdc20:Phospho-APC/C Mediated Degradation Of Cyclin A R-HSA-174184']"
68460,20,BRD-K61496577-001-20-2::2.5::HTS,0.10960311948989103,flumethasone,glucocorticoid receptor agonist,"NR3C1, PLA2G1B",corticosteroid-responsive dermatoses,Launched,"['APC/C-mediated Degradation Of Cell Cycle Proteins R-HSA-174143', 'Regulation Of APC/C Activators Between G1/S And Early Anaphase R-HSA-176408', 'APC/C:Cdh1 Mediated Degradation Of Cdc20 And APC/C:Cdh1 Targets In Late Mitosis/Early G1 R-HSA-174178', 'Activation Of APC/C And APC/C:Cdc20 Mediated Degradation Of Mitotic Proteins R-HSA-176814', 'CDK-mediated Phosphorylation And Removal Of Cdc6 R-HSA-69017', 'APC/C:Cdc20 Mediated Degradation Of Securin R-HSA-174154', 'APC/C:Cdc20 Mediated Degradation Of Mitotic Proteins R-HSA-176409', 'Autodegradation Of Cdh1 By Cdh1:APC/C R-HSA-174084', 'Golgi-to-ER Retrograde Transport R-HSA-8856688', 'Cdc20:Phospho-APC/C Mediated Degradation Of Cyclin A R-HSA-174184']"
68462,20,BRD-K61567297-001-01-9::2.5::HTS,0.11521605678655093,resatorvid,toll-like receptor antagonist,TLR4,,Phase 3,"['APC/C-mediated Degradation Of Cell Cycle Proteins R-HSA-174143', 'Regulation Of APC/C Activators Between G1/S And Early Anaphase R-HSA-176408', 'APC/C:Cdh1 Mediated Degradation Of Cdc20 And APC/C:Cdh1 Targets In Late Mitosis/Early G1 R-HSA-174178', 'Activation Of APC/C And APC/C:Cdc20 Mediated Degradation Of Mitotic Proteins R-HSA-176814', 'CDK-mediated Phosphorylation And Removal Of Cdc6 R-HSA-69017', 'APC/C:Cdc20 Mediated Degradation Of Securin R-HSA-174154', 'APC/C:Cdc20 Mediated Degradation Of Mitotic Proteins R-HSA-176409', 'Autodegradation Of Cdh1 By Cdh1:APC/C R-HSA-174084', 'Golgi-to-ER Retrograde Transport R-HSA-8856688', 'Cdc20:Phospho-APC/C Mediated Degradation Of Cyclin A R-HSA-174184']"
68471,20,BRD-K61734568-003-02-1::2.5::HTS,0.11130004411726055,"2,3-DCPE",Bcl-XL downregulator,BCL2L1,,Preclinical,"['APC/C-mediated Degradation Of Cell Cycle Proteins R-HSA-174143', 'Regulation Of APC/C Activators Between G1/S And Early Anaphase R-HSA-176408', 'APC/C:Cdh1 Mediated Degradation Of Cdc20 And APC/C:Cdh1 Targets In Late Mitosis/Early G1 R-HSA-174178', 'Activation Of APC/C And APC/C:Cdc20 Mediated Degradation Of Mitotic Proteins R-HSA-176814', 'CDK-mediated Phosphorylation And Removal Of Cdc6 R-HSA-69017', 'APC/C:Cdc20 Mediated Degradation Of Securin R-HSA-174154', 'APC/C:Cdc20 Mediated Degradation Of Mitotic Proteins R-HSA-176409', 'Autodegradation Of Cdh1 By Cdh1:APC/C R-HSA-174084', 'Golgi-to-ER Retrograde Transport R-HSA-8856688', 'Cdc20:Phospho-APC/C Mediated Degradation Of Cyclin A R-HSA-174184']"
68482,20,BRD-K62196610-001-01-6::2.5::HTS,0.18416867052782798,AVN-944,inosine monophosphate dehydrogenase inhibitor,"IMPDH1, IMPDH2",,Phase 2,"['APC/C-mediated Degradation Of Cell Cycle Proteins R-HSA-174143', 'Regulation Of APC/C Activators Between G1/S And Early Anaphase R-HSA-176408', 'APC/C:Cdh1 Mediated Degradation Of Cdc20 And APC/C:Cdh1 Targets In Late Mitosis/Early G1 R-HSA-174178', 'Activation Of APC/C And APC/C:Cdc20 Mediated Degradation Of Mitotic Proteins R-HSA-176814', 'CDK-mediated Phosphorylation And Removal Of Cdc6 R-HSA-69017', 'APC/C:Cdc20 Mediated Degradation Of Securin R-HSA-174154', 'APC/C:Cdc20 Mediated Degradation Of Mitotic Proteins R-HSA-176409', 'Autodegradation Of Cdh1 By Cdh1:APC/C R-HSA-174084', 'Golgi-to-ER Retrograde Transport R-HSA-8856688', 'Cdc20:Phospho-APC/C Mediated Degradation Of Cyclin A R-HSA-174184']"
68483,20,BRD-K62200014-003-10-5::2.5::HTS,-0.13576990807183992,anagrelide,phosphodiesterase inhibitor,PDE3A,"thrombocythemia, myeloproliferative neoplasms",Launched,"['APC/C-mediated Degradation Of Cell Cycle Proteins R-HSA-174143', 'Regulation Of APC/C Activators Between G1/S And Early Anaphase R-HSA-176408', 'APC/C:Cdh1 Mediated Degradation Of Cdc20 And APC/C:Cdh1 Targets In Late Mitosis/Early G1 R-HSA-174178', 'Activation Of APC/C And APC/C:Cdc20 Mediated Degradation Of Mitotic Proteins R-HSA-176814', 'CDK-mediated Phosphorylation And Removal Of Cdc6 R-HSA-69017', 'APC/C:Cdc20 Mediated Degradation Of Securin R-HSA-174154', 'APC/C:Cdc20 Mediated Degradation Of Mitotic Proteins R-HSA-176409', 'Autodegradation Of Cdh1 By Cdh1:APC/C R-HSA-174084', 'Golgi-to-ER Retrograde Transport R-HSA-8856688', 'Cdc20:Phospho-APC/C Mediated Degradation Of Cyclin A R-HSA-174184']"
68484,20,BRD-K62213621-001-01-6::2.5::HTS,0.20610265327774435,dihydroartemisinin,antimalarial agent,,malaria,Launched,"['APC/C-mediated Degradation Of Cell Cycle Proteins R-HSA-174143', 'Regulation Of APC/C Activators Between G1/S And Early Anaphase R-HSA-176408', 'APC/C:Cdh1 Mediated Degradation Of Cdc20 And APC/C:Cdh1 Targets In Late Mitosis/Early G1 R-HSA-174178', 'Activation Of APC/C And APC/C:Cdc20 Mediated Degradation Of Mitotic Proteins R-HSA-176814', 'CDK-mediated Phosphorylation And Removal Of Cdc6 R-HSA-69017', 'APC/C:Cdc20 Mediated Degradation Of Securin R-HSA-174154', 'APC/C:Cdc20 Mediated Degradation Of Mitotic Proteins R-HSA-176409', 'Autodegradation Of Cdh1 By Cdh1:APC/C R-HSA-174084', 'Golgi-to-ER Retrograde Transport R-HSA-8856688', 'Cdc20:Phospho-APC/C Mediated Degradation Of Cyclin A R-HSA-174184']"
68487,20,BRD-K62310379-001-10-5::2.5::HTS,0.1289971473340295,fluticasone-propionate,glucocorticoid receptor agonist,"NR3C1, NR3C2, PGR, PLA2G4A",corticosteroid-responsive dermatoses,Launched,"['APC/C-mediated Degradation Of Cell Cycle Proteins R-HSA-174143', 'Regulation Of APC/C Activators Between G1/S And Early Anaphase R-HSA-176408', 'APC/C:Cdh1 Mediated Degradation Of Cdc20 And APC/C:Cdh1 Targets In Late Mitosis/Early G1 R-HSA-174178', 'Activation Of APC/C And APC/C:Cdc20 Mediated Degradation Of Mitotic Proteins R-HSA-176814', 'CDK-mediated Phosphorylation And Removal Of Cdc6 R-HSA-69017', 'APC/C:Cdc20 Mediated Degradation Of Securin R-HSA-174154', 'APC/C:Cdc20 Mediated Degradation Of Mitotic Proteins R-HSA-176409', 'Autodegradation Of Cdh1 By Cdh1:APC/C R-HSA-174084', 'Golgi-to-ER Retrograde Transport R-HSA-8856688', 'Cdc20:Phospho-APC/C Mediated Degradation Of Cyclin A R-HSA-174184']"
68497,20,BRD-K62427771-001-01-0::2.5::HTS,-0.14343989304314175,AS-77,potassium channel blocker,"KCNA3, KCNA5, KCNN4",,Preclinical,"['APC/C-mediated Degradation Of Cell Cycle Proteins R-HSA-174143', 'Regulation Of APC/C Activators Between G1/S And Early Anaphase R-HSA-176408', 'APC/C:Cdh1 Mediated Degradation Of Cdc20 And APC/C:Cdh1 Targets In Late Mitosis/Early G1 R-HSA-174178', 'Activation Of APC/C And APC/C:Cdc20 Mediated Degradation Of Mitotic Proteins R-HSA-176814', 'CDK-mediated Phosphorylation And Removal Of Cdc6 R-HSA-69017', 'APC/C:Cdc20 Mediated Degradation Of Securin R-HSA-174154', 'APC/C:Cdc20 Mediated Degradation Of Mitotic Proteins R-HSA-176409', 'Autodegradation Of Cdh1 By Cdh1:APC/C R-HSA-174084', 'Golgi-to-ER Retrograde Transport R-HSA-8856688', 'Cdc20:Phospho-APC/C Mediated Degradation Of Cyclin A R-HSA-174184']"
68498,20,BRD-K62456038-003-07-1::2.5::HTS,-0.15665385479699864,PD-128907,dopamine receptor agonist,"DRD2, DRD3",,Preclinical,"['APC/C-mediated Degradation Of Cell Cycle Proteins R-HSA-174143', 'Regulation Of APC/C Activators Between G1/S And Early Anaphase R-HSA-176408', 'APC/C:Cdh1 Mediated Degradation Of Cdc20 And APC/C:Cdh1 Targets In Late Mitosis/Early G1 R-HSA-174178', 'Activation Of APC/C And APC/C:Cdc20 Mediated Degradation Of Mitotic Proteins R-HSA-176814', 'CDK-mediated Phosphorylation And Removal Of Cdc6 R-HSA-69017', 'APC/C:Cdc20 Mediated Degradation Of Securin R-HSA-174154', 'APC/C:Cdc20 Mediated Degradation Of Mitotic Proteins R-HSA-176409', 'Autodegradation Of Cdh1 By Cdh1:APC/C R-HSA-174084', 'Golgi-to-ER Retrograde Transport R-HSA-8856688', 'Cdc20:Phospho-APC/C Mediated Degradation Of Cyclin A R-HSA-174184']"
68505,20,BRD-K62627508-001-01-5::2.5::HTS,0.13609577898829991,idasanutlin,MDM inhibitor,"MDM2, TP53",,Phase 3,"['APC/C-mediated Degradation Of Cell Cycle Proteins R-HSA-174143', 'Regulation Of APC/C Activators Between G1/S And Early Anaphase R-HSA-176408', 'APC/C:Cdh1 Mediated Degradation Of Cdc20 And APC/C:Cdh1 Targets In Late Mitosis/Early G1 R-HSA-174178', 'Activation Of APC/C And APC/C:Cdc20 Mediated Degradation Of Mitotic Proteins R-HSA-176814', 'CDK-mediated Phosphorylation And Removal Of Cdc6 R-HSA-69017', 'APC/C:Cdc20 Mediated Degradation Of Securin R-HSA-174154', 'APC/C:Cdc20 Mediated Degradation Of Mitotic Proteins R-HSA-176409', 'Autodegradation Of Cdh1 By Cdh1:APC/C R-HSA-174084', 'Golgi-to-ER Retrograde Transport R-HSA-8856688', 'Cdc20:Phospho-APC/C Mediated Degradation Of Cyclin A R-HSA-174184']"
68514,20,BRD-K62779383-001-05-5::2.38::HTS,0.10906028704721873,cholecalciferol,,VDR,vitamin D deficiency,Launched,"['APC/C-mediated Degradation Of Cell Cycle Proteins R-HSA-174143', 'Regulation Of APC/C Activators Between G1/S And Early Anaphase R-HSA-176408', 'APC/C:Cdh1 Mediated Degradation Of Cdc20 And APC/C:Cdh1 Targets In Late Mitosis/Early G1 R-HSA-174178', 'Activation Of APC/C And APC/C:Cdc20 Mediated Degradation Of Mitotic Proteins R-HSA-176814', 'CDK-mediated Phosphorylation And Removal Of Cdc6 R-HSA-69017', 'APC/C:Cdc20 Mediated Degradation Of Securin R-HSA-174154', 'APC/C:Cdc20 Mediated Degradation Of Mitotic Proteins R-HSA-176409', 'Autodegradation Of Cdh1 By Cdh1:APC/C R-HSA-174084', 'Golgi-to-ER Retrograde Transport R-HSA-8856688', 'Cdc20:Phospho-APC/C Mediated Degradation Of Cyclin A R-HSA-174184']"
68517,20,BRD-K62814476-001-03-3::2.5::HTS,0.19528982090170244,BMS-265246,CDK inhibitor,"CDK1, CDK2",,Preclinical,"['APC/C-mediated Degradation Of Cell Cycle Proteins R-HSA-174143', 'Regulation Of APC/C Activators Between G1/S And Early Anaphase R-HSA-176408', 'APC/C:Cdh1 Mediated Degradation Of Cdc20 And APC/C:Cdh1 Targets In Late Mitosis/Early G1 R-HSA-174178', 'Activation Of APC/C And APC/C:Cdc20 Mediated Degradation Of Mitotic Proteins R-HSA-176814', 'CDK-mediated Phosphorylation And Removal Of Cdc6 R-HSA-69017', 'APC/C:Cdc20 Mediated Degradation Of Securin R-HSA-174154', 'APC/C:Cdc20 Mediated Degradation Of Mitotic Proteins R-HSA-176409', 'Autodegradation Of Cdh1 By Cdh1:APC/C R-HSA-174084', 'Golgi-to-ER Retrograde Transport R-HSA-8856688', 'Cdc20:Phospho-APC/C Mediated Degradation Of Cyclin A R-HSA-174184']"
68520,20,BRD-K62965247-001-04-9::2.5::HTS,0.14886370466969007,tipifarnib,farnesyltransferase inhibitor,"FNTA, FNTB",,Phase 3,"['APC/C-mediated Degradation Of Cell Cycle Proteins R-HSA-174143', 'Regulation Of APC/C Activators Between G1/S And Early Anaphase R-HSA-176408', 'APC/C:Cdh1 Mediated Degradation Of Cdc20 And APC/C:Cdh1 Targets In Late Mitosis/Early G1 R-HSA-174178', 'Activation Of APC/C And APC/C:Cdc20 Mediated Degradation Of Mitotic Proteins R-HSA-176814', 'CDK-mediated Phosphorylation And Removal Of Cdc6 R-HSA-69017', 'APC/C:Cdc20 Mediated Degradation Of Securin R-HSA-174154', 'APC/C:Cdc20 Mediated Degradation Of Mitotic Proteins R-HSA-176409', 'Autodegradation Of Cdh1 By Cdh1:APC/C R-HSA-174084', 'Golgi-to-ER Retrograde Transport R-HSA-8856688', 'Cdc20:Phospho-APC/C Mediated Degradation Of Cyclin A R-HSA-174184']"
68523,20,BRD-K63001556-001-09-6::2.57::HTS,-0.13691349536341976,orbifloxacin,bacterial DNA gyrase inhibitor,,urinary tract infections,Launched,"['APC/C-mediated Degradation Of Cell Cycle Proteins R-HSA-174143', 'Regulation Of APC/C Activators Between G1/S And Early Anaphase R-HSA-176408', 'APC/C:Cdh1 Mediated Degradation Of Cdc20 And APC/C:Cdh1 Targets In Late Mitosis/Early G1 R-HSA-174178', 'Activation Of APC/C And APC/C:Cdc20 Mediated Degradation Of Mitotic Proteins R-HSA-176814', 'CDK-mediated Phosphorylation And Removal Of Cdc6 R-HSA-69017', 'APC/C:Cdc20 Mediated Degradation Of Securin R-HSA-174154', 'APC/C:Cdc20 Mediated Degradation Of Mitotic Proteins R-HSA-176409', 'Autodegradation Of Cdh1 By Cdh1:APC/C R-HSA-174084', 'Golgi-to-ER Retrograde Transport R-HSA-8856688', 'Cdc20:Phospho-APC/C Mediated Degradation Of Cyclin A R-HSA-174184']"
68543,20,BRD-K63750851-001-20-7::2.5::HTS,0.2509429553651332,mycophenolic-acid,"dehydrogenase inhibitor, inositol monophosphatase inhibitor","IMPDH1, IMPDH2",organ rejection,Launched,"['APC/C-mediated Degradation Of Cell Cycle Proteins R-HSA-174143', 'Regulation Of APC/C Activators Between G1/S And Early Anaphase R-HSA-176408', 'APC/C:Cdh1 Mediated Degradation Of Cdc20 And APC/C:Cdh1 Targets In Late Mitosis/Early G1 R-HSA-174178', 'Activation Of APC/C And APC/C:Cdc20 Mediated Degradation Of Mitotic Proteins R-HSA-176814', 'CDK-mediated Phosphorylation And Removal Of Cdc6 R-HSA-69017', 'APC/C:Cdc20 Mediated Degradation Of Securin R-HSA-174154', 'APC/C:Cdc20 Mediated Degradation Of Mitotic Proteins R-HSA-176409', 'Autodegradation Of Cdh1 By Cdh1:APC/C R-HSA-174084', 'Golgi-to-ER Retrograde Transport R-HSA-8856688', 'Cdc20:Phospho-APC/C Mediated Degradation Of Cyclin A R-HSA-174184']"
68553,20,BRD-K63932022-001-01-5::2.5::HTS,-0.10452456265638918,2'-MeCCPA,adenosine receptor agonist,ADORA1,,Preclinical,"['APC/C-mediated Degradation Of Cell Cycle Proteins R-HSA-174143', 'Regulation Of APC/C Activators Between G1/S And Early Anaphase R-HSA-176408', 'APC/C:Cdh1 Mediated Degradation Of Cdc20 And APC/C:Cdh1 Targets In Late Mitosis/Early G1 R-HSA-174178', 'Activation Of APC/C And APC/C:Cdc20 Mediated Degradation Of Mitotic Proteins R-HSA-176814', 'CDK-mediated Phosphorylation And Removal Of Cdc6 R-HSA-69017', 'APC/C:Cdc20 Mediated Degradation Of Securin R-HSA-174154', 'APC/C:Cdc20 Mediated Degradation Of Mitotic Proteins R-HSA-176409', 'Autodegradation Of Cdh1 By Cdh1:APC/C R-HSA-174084', 'Golgi-to-ER Retrograde Transport R-HSA-8856688', 'Cdc20:Phospho-APC/C Mediated Degradation Of Cyclin A R-HSA-174184']"
68554,20,BRD-K64052750-001-17-5::2.5::HTS,0.26651840093802426,gefitinib,EGFR inhibitor,EGFR,non-small cell lung cancer (NSCLC),Launched,"['APC/C-mediated Degradation Of Cell Cycle Proteins R-HSA-174143', 'Regulation Of APC/C Activators Between G1/S And Early Anaphase R-HSA-176408', 'APC/C:Cdh1 Mediated Degradation Of Cdc20 And APC/C:Cdh1 Targets In Late Mitosis/Early G1 R-HSA-174178', 'Activation Of APC/C And APC/C:Cdc20 Mediated Degradation Of Mitotic Proteins R-HSA-176814', 'CDK-mediated Phosphorylation And Removal Of Cdc6 R-HSA-69017', 'APC/C:Cdc20 Mediated Degradation Of Securin R-HSA-174154', 'APC/C:Cdc20 Mediated Degradation Of Mitotic Proteins R-HSA-176409', 'Autodegradation Of Cdh1 By Cdh1:APC/C R-HSA-174084', 'Golgi-to-ER Retrograde Transport R-HSA-8856688', 'Cdc20:Phospho-APC/C Mediated Degradation Of Cyclin A R-HSA-174184']"
68566,20,BRD-K64538373-001-01-4::2.5::HTS,0.2171823619820944,Ro-4987655,MEK inhibitor,MAP2K1,,Phase 1,"['APC/C-mediated Degradation Of Cell Cycle Proteins R-HSA-174143', 'Regulation Of APC/C Activators Between G1/S And Early Anaphase R-HSA-176408', 'APC/C:Cdh1 Mediated Degradation Of Cdc20 And APC/C:Cdh1 Targets In Late Mitosis/Early G1 R-HSA-174178', 'Activation Of APC/C And APC/C:Cdc20 Mediated Degradation Of Mitotic Proteins R-HSA-176814', 'CDK-mediated Phosphorylation And Removal Of Cdc6 R-HSA-69017', 'APC/C:Cdc20 Mediated Degradation Of Securin R-HSA-174154', 'APC/C:Cdc20 Mediated Degradation Of Mitotic Proteins R-HSA-176409', 'Autodegradation Of Cdh1 By Cdh1:APC/C R-HSA-174084', 'Golgi-to-ER Retrograde Transport R-HSA-8856688', 'Cdc20:Phospho-APC/C Mediated Degradation Of Cyclin A R-HSA-174184']"
