,latent_dimension,drug,correlation,name,moa,target,indication,phase,Associated Pathways
557,1,BRD-A64743628-001-01-5::2.5::HTS,0.13507392141191105,isometheptene-mucate,,"ADRA1A, SLC18A2",headache,Launched,"['rRNA Processing R-HSA-72312', 'rRNA Processing In Nucleus And Cytosol R-HSA-8868773', 'Major Pathway Of rRNA Processing In Nucleolus And Cytosol R-HSA-6791226', 'tRNA Processing R-HSA-72306', 'Mitochondrial tRNA Aminoacylation R-HSA-379726', 'tRNA Aminoacylation R-HSA-379724', 'tRNA Modification In Nucleus And Cytosol R-HSA-6782315', 'Mitochondrial Protein Import R-HSA-1268020', 'rRNA Modification In Nucleus And Cytosol R-HSA-6790901', 'Cristae Formation R-HSA-8949613']"
586,1,BRD-A67514145-003-05-8::2.5::HTS,-0.10857614584969527,furaltadone,bacterial DNA inhibitor,,,Launched,"['rRNA Processing R-HSA-72312', 'rRNA Processing In Nucleus And Cytosol R-HSA-8868773', 'Major Pathway Of rRNA Processing In Nucleolus And Cytosol R-HSA-6791226', 'tRNA Processing R-HSA-72306', 'Mitochondrial tRNA Aminoacylation R-HSA-379726', 'tRNA Aminoacylation R-HSA-379724', 'tRNA Modification In Nucleus And Cytosol R-HSA-6782315', 'Mitochondrial Protein Import R-HSA-1268020', 'rRNA Modification In Nucleus And Cytosol R-HSA-6790901', 'Cristae Formation R-HSA-8949613']"
613,1,BRD-A70268693-050-01-2::2.5::HTS,0.11178695006177813,PG-9,acetylcholine receptor agonist,,,Preclinical,"['rRNA Processing R-HSA-72312', 'rRNA Processing In Nucleus And Cytosol R-HSA-8868773', 'Major Pathway Of rRNA Processing In Nucleolus And Cytosol R-HSA-6791226', 'tRNA Processing R-HSA-72306', 'Mitochondrial tRNA Aminoacylation R-HSA-379726', 'tRNA Aminoacylation R-HSA-379724', 'tRNA Modification In Nucleus And Cytosol R-HSA-6782315', 'Mitochondrial Protein Import R-HSA-1268020', 'rRNA Modification In Nucleus And Cytosol R-HSA-6790901', 'Cristae Formation R-HSA-8949613']"
625,1,BRD-A72066420-001-04-5::2.5::HTS,0.1150154500365242,mifobate,PPAR receptor antagonist,PPARG,,Phase 2,"['rRNA Processing R-HSA-72312', 'rRNA Processing In Nucleus And Cytosol R-HSA-8868773', 'Major Pathway Of rRNA Processing In Nucleolus And Cytosol R-HSA-6791226', 'tRNA Processing R-HSA-72306', 'Mitochondrial tRNA Aminoacylation R-HSA-379726', 'tRNA Aminoacylation R-HSA-379724', 'tRNA Modification In Nucleus And Cytosol R-HSA-6782315', 'Mitochondrial Protein Import R-HSA-1268020', 'rRNA Modification In Nucleus And Cytosol R-HSA-6790901', 'Cristae Formation R-HSA-8949613']"
661,1,BRD-A77218119-001-03-5::2.5::HTS,-0.10107478430279962,SYM-2206,glutamate receptor antagonist,"GRIA1, GRIA2, GRIA3, GRIA4",,Preclinical,"['rRNA Processing R-HSA-72312', 'rRNA Processing In Nucleus And Cytosol R-HSA-8868773', 'Major Pathway Of rRNA Processing In Nucleolus And Cytosol R-HSA-6791226', 'tRNA Processing R-HSA-72306', 'Mitochondrial tRNA Aminoacylation R-HSA-379726', 'tRNA Aminoacylation R-HSA-379724', 'tRNA Modification In Nucleus And Cytosol R-HSA-6782315', 'Mitochondrial Protein Import R-HSA-1268020', 'rRNA Modification In Nucleus And Cytosol R-HSA-6790901', 'Cristae Formation R-HSA-8949613']"
667,1,BRD-A78341343-001-01-6::2.5::HTS,-0.10826769029629132,regadenoson,adenosine receptor agonist,"ADORA1, ADORA2A, ADORA2B, ADORA3",myocardial perfusion imaging (MPI),Launched,"['rRNA Processing R-HSA-72312', 'rRNA Processing In Nucleus And Cytosol R-HSA-8868773', 'Major Pathway Of rRNA Processing In Nucleolus And Cytosol R-HSA-6791226', 'tRNA Processing R-HSA-72306', 'Mitochondrial tRNA Aminoacylation R-HSA-379726', 'tRNA Aminoacylation R-HSA-379724', 'tRNA Modification In Nucleus And Cytosol R-HSA-6782315', 'Mitochondrial Protein Import R-HSA-1268020', 'rRNA Modification In Nucleus And Cytosol R-HSA-6790901', 'Cristae Formation R-HSA-8949613']"
672,1,BRD-A78877355-001-03-0::2.5::HTS,0.10044948108286765,nefopam,cyclooxygenase inhibitor,,pain relief,Launched,"['rRNA Processing R-HSA-72312', 'rRNA Processing In Nucleus And Cytosol R-HSA-8868773', 'Major Pathway Of rRNA Processing In Nucleolus And Cytosol R-HSA-6791226', 'tRNA Processing R-HSA-72306', 'Mitochondrial tRNA Aminoacylation R-HSA-379726', 'tRNA Aminoacylation R-HSA-379724', 'tRNA Modification In Nucleus And Cytosol R-HSA-6782315', 'Mitochondrial Protein Import R-HSA-1268020', 'rRNA Modification In Nucleus And Cytosol R-HSA-6790901', 'Cristae Formation R-HSA-8949613']"
683,1,BRD-A81129465-001-03-8::2.5::HTS,0.14665717917954413,fenoprofen,prostaglandin inhibitor,"PTGS1, PTGS2, SLC5A8","rheumatoid arthritis, osteoarthritis",Launched,"['rRNA Processing R-HSA-72312', 'rRNA Processing In Nucleus And Cytosol R-HSA-8868773', 'Major Pathway Of rRNA Processing In Nucleolus And Cytosol R-HSA-6791226', 'tRNA Processing R-HSA-72306', 'Mitochondrial tRNA Aminoacylation R-HSA-379726', 'tRNA Aminoacylation R-HSA-379724', 'tRNA Modification In Nucleus And Cytosol R-HSA-6782315', 'Mitochondrial Protein Import R-HSA-1268020', 'rRNA Modification In Nucleus And Cytosol R-HSA-6790901', 'Cristae Formation R-HSA-8949613']"
696,1,BRD-A83802939-304-04-2::2.5::HTS,0.10480923882196407,dexamethasone-sodium-phosphate,glucocorticoid receptor agonist,NR3C1,"hypercalcemia, rheumatoid arthritis, psoriatic arthritis, osteoarthritis, allergic rhinitis, ulcerative colitis, anemia, multiple sclerosis, enteritis, lupus, dermatitis herpetiformis (DH), nephrotic syndrome, psoriasis",Launched,"['rRNA Processing R-HSA-72312', 'rRNA Processing In Nucleus And Cytosol R-HSA-8868773', 'Major Pathway Of rRNA Processing In Nucleolus And Cytosol R-HSA-6791226', 'tRNA Processing R-HSA-72306', 'Mitochondrial tRNA Aminoacylation R-HSA-379726', 'tRNA Aminoacylation R-HSA-379724', 'tRNA Modification In Nucleus And Cytosol R-HSA-6782315', 'Mitochondrial Protein Import R-HSA-1268020', 'rRNA Modification In Nucleus And Cytosol R-HSA-6790901', 'Cristae Formation R-HSA-8949613']"
721,1,BRD-A87130939-001-07-9::2.5::HTS,-0.11934955551530049,masoprocol,lipoxygenase inhibitor,ALOX5,actinic keratosis (AK),Launched,"['rRNA Processing R-HSA-72312', 'rRNA Processing In Nucleus And Cytosol R-HSA-8868773', 'Major Pathway Of rRNA Processing In Nucleolus And Cytosol R-HSA-6791226', 'tRNA Processing R-HSA-72306', 'Mitochondrial tRNA Aminoacylation R-HSA-379726', 'tRNA Aminoacylation R-HSA-379724', 'tRNA Modification In Nucleus And Cytosol R-HSA-6782315', 'Mitochondrial Protein Import R-HSA-1268020', 'rRNA Modification In Nucleus And Cytosol R-HSA-6790901', 'Cristae Formation R-HSA-8949613']"
